Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Университет Южной Дании,273,Дания,13000.0,13000.0,,326,339
Северо-Восточный университет,274,США,36365.0,36455.0,,375,228,246
Католический университет Чили,275,Чили,8998.0,8998.0,,601
Университета Стоуни-Брук,276,США,24983.0,25301.0,,396,263,340
Уханьский университет,277,Китай,3535.0,4292.0,,194,164,135
Майнцский университет,278,Германия,649.0,324.5,,464,264,247
Университет Монпелье,279,Франция,2441.0,3955.5,,382,311,188
Университет Нанькай,280,Китай,2760.0,3174.0,,384,265,189
Университет Делавэра,281,США,34611.0,20914.5,,498,405,248
Университет Брандейса,282,США,61707.0,45489.5,,661,266,341
Лейпцигский университет,283,Германия,224.5,224.5,,479,249
Университет штата Орегон,284,США,83228.0,73820.5,,505,250
Университет Линчепинга,285,Швеция,15651.0,12095.5,,268,267,342
Университет Ешива,286,США,44288.0,34640.5,,369,901
Университет Канзаса,287,США,8998.0,8998.0,,410,343
Университет Кён-хи,288,Республика Корея,6219.0,,,332,268,416
Университет Тулузы III (или Университет Поля Сабатье),289,Франция,203.0,240.0,,344
Венский Технический Университет,290,Австрия,1573.0,1573.0,,184,345
Университет нефти и полезных ископаемых имени короля Фахда,291,Саудовская Аравия,0.0,0,,180,229,417
Университет штата Флорида,292,США,18766.0,16497.5,,461,269,251
Университет Порту,293,Португалия,3786.0,3786.0,5138.0,253,406,252
Университет Теннеси в Ноксвилле,294,США,31670.5,32670.0,10997.0,446,312,253
Университет штата Колорадо,295,США,31704.0,24831.5,24404.5,409,346
Свободный университет Берлина,296,Германия,641.0,320.5,,98,102
Университет Флоренции,297,Италия,1623.0,1623.0,,358,360,347
Университет Умио,298,Швеция,6216.0,6161.5,,465,407,602
Федеральный Университет Рио-де-Жанейро,299,Бразилия,1000.0,1000.0,,371,602,501
Университет Дикин,300,Австралия,28626.0,22261.0,,233,270,254
Берлинский университет,301,Германия,643.0,321.5,500.0,120,87
Университет Гриффита,302,Австралия,27372.5,26053.0,,243,271,348
Университетский колледж Корка,303,Ирландия,32738.5,29260.5,,292,313,349
Университет Нью-Мексико -Альбукерке,304,США,26553.5,26894.0,38308.0,631,502
Университет Ульм,305,Германия,1000.0,2122.5,,542,193,418
Варшавский университет,306,Польша,1622.5,1622.5,,262,603,419
Хуачжунский университет науки и технологии,307,Китай,4744.5,5093.5,,275,158,91
Университет Тунцзи,308,Китай,4716.0,4107.5,,216,185,190
Технический университет Дармштадта,309,Германия,1000.0,500.0,,246,272,420
Университет Суррея,310,Великобритания,25471.5,21660.0,23819.5,244,273,350
Политехнический институт Ренселера,311,США,44988.0,44988.0,,494,408,421
Университет Бордо,312,Франция,203.0,1724.0,,465,361
Цзилиньский университет,313,Китай,4073.0,4457.5,,502,136
Университет Ольборг,314,Дания,15000.0,11045.0,,336,230,351
Университет Оулу,315,Финляндия,10817.0,10817.0,,313,274,422
Университет Небраски-Линкольна,316,США,6998.0,7998.0,,255
Университет имени Бен-Гуриона,317,Израиль,3833.0,4475.5,22309.0,469,503,503
Университет штата Вашингтон,318,США,16644.5,16741.0,,419,314,423
Квинслендский технологический университет,319,Австралия,23777.5,24833.0,24239.5,189,199,352
Университет Кобе,320,Япония,3600.0,3600.0,,476,504
Центральная школа искусств и мануфактур,321,Франция,15144.0,12980.5,
Университет Париж-Дофин (Париж IX),322,Франция,203.0,240.0,
Университет Гуэлф,323,Канада,19413.0,14643.0,,486,409,505
Университет Тасмании,324,Австралия,34898.5,30467.0,,307,275,256
Индийский технический институт в Дели,325,Индия,745.0,1872.0,,197,603
Бостонский колледж,326,США,44988.0,34990.5,,632,276,506
Пекинский университет авиации и космонавтики,327,Китай,4116.0,4456.5,,315,191
Университет Турина,328,Италия,1082.0,1082.0,,364,410,257
Лионский университет I имени Клода Бернара,329,Франция,203.0,245.0,,452,258
Университет науки,330,Малайзия,3198.0,3305.0,,137,604
Университет Джеймса Кука,331,Австралия,32860.0,32860.0,23771.0,415,353
Лиссабонский университет,332,Португалия,4868.0,4885.5,,266,259
Университет Коннектикута,333,США,27966.5,31992.5,,444,362,354
Марбургский университет,334,Германия,1000.0,1000.0,,761,411,424
Политехнический университет Каталонии,335,Испания,4786.5,4843.0,10056.5,354,604,702
Индийский технологический институт Бомбея,336,Индия,8736.0,7060.5,,149
Университет Стелленбоша,337,ЮАР,3569.0,2753.5,6325.0,283,316,425
Университет Эссекса,338,Великобритания,75944.0,79778.0,17941.5,459,317,426
Брюссельский свободный университет,339,Бельгия,4516.0,4516.0,,189,137
Техасский университет в Далалсе,340,США,43415.5,33548.0,,520,363,507
Сямэньский университет,341,Китай,5998.0,6349.0,,392,318,192
Университет Кентербери,342,Новая Зеландия,25994.0,27335.0,,256,504,427
Университет Васэда,343,Япония,11217.0,11817.0,,199,803,703
Ягеллонский университет в Кракове,344,Польша,3606.0,2782.0,,304,605,428
Политехнический университет Валенсии,345,Испания,3000.0,3000.0,,476,606,429
Колорадский университет в Денвере,346,США,27379.0,13937.5,,721,260
Ювяскюльский университет,347,Финляндия,1623.0,5138.5,,446,704
Университет Констанца,348,Германия,2114.0,1868.5,2611.5,478,277,508
Университет Париж IV Сорбонна,349,Франция,203.0,245.0,
Рурский университет в Бохуме,350,Германия,627.0,813.5,,375,278,355
Национальный фонд политических наук Институт политических исследований Парижа,351,Франция,10860.0,12904.5,,319
Тяньцзинский университет,352,Китай,3083.0,3851.0,,285,231,138
Университет Лафборо,353,Великобритания,29505.0,21713.0,24762.0,212,279,605
Университет Брунеля,354,Великобритания,15000.0,12000.0,,343,364,705
Университет королевы Виктории,355,Новая Зеландия,28298.0,23390.0,,241,412,430
Королевский колледж Холлоуэй,356,Великобритания,15000.0,12000.0,,319
Технологический институт Монтерреи,357,Мексика,7018.0,11009.0,15000.0,184,607
Университет Цинциннати,358,США,34521.5,35902.5,,691,261
Университет Париж 1 Пантеон-Сорбонна,359,Франция,2996.0,3537.0,,328
Университет Хьюстона,360,США,26089.0,18011.0,,641,505,356
Университет Южной Каролины в Колумбии,361,США,19995.0,19995.0,,575,413,431
Университет Южной Флориды,362,США,16132.5,16589.5,,563,280,357
Университет восточной Финляндии,363,Финляндия,1000.0,4827.0,10817.5,548,506,509
Университет Федерико II в Неаполе,364,Италия,974.0,1082.0,,335,365,262
Университет Стратклайда,365,Великобритания,17499.5,16197.0,44241.0,276,320,510
Университет Хиросима,366,Япония,4883.0,4151.5,,472,432
Бременский университет,367,Германия,1000.0,500.0,,514,321,606
Чулалонгкорнский университет,368,Таиланд,4048.0,4635.0,,211,608,511
Женский университет Ихва,369,Республика Корея,,,,498,609,607
"Индийский технологический институт, Мадрас",370,Индия,1078.0,958.0,,285,706
Университет Саскачевана,371,Канада,27007.5,22103.0,,345,366,358
Национальный Тайваньский университет науки и технологий,372,Тайвань,1000.0,1000.0,,387,414,608
"Университет Вильгельма Лейбница, Ганновер",373,Германия,1000.0,969.5,,481,367,512
Наваррский университет,374,Испания,11000.0,13000.0,
Коимбрский университет,375,Португалия,7572.0,5679.0,5679.0,351,415,433
Юго-восточный университет,376,Китай,4577.0,4591.0,,454,322,139
Университет Гранады,377,Испания,1000.0,944.0,,403,507,263
Американский университет Бейрута,378,Ливан,26317.5,32463.0,32031.5,226,508,707
Ирландский национальный университет в Голуэе,379,Ирландия,20542.0,16077.0,18727.0,289,323,513
Индийский технологический институт в Канпуре,380,Индия,1078.0,748.5,,278,902
Мельбурнский королевский технологический университет,381,Австралия,16629.5,23547.0,23111.5,140,281,359
Школа востоковедения и африканистики Лондонского университета,382,Великобритания,16515.0,16515.0,16515.0,511,416
Казахский национальный университет имени аль-Фараби,383,Казахстан,4999.0,4999.0,,230,1201
Национальный университет Сунь Ятсена,384,Тайвань,1000.0,1000.0,,505,610,609
Гонконгский баптистский университет,385,Гонконг,15366.0,15366.0,,295,324,610
Университет Анд,386,Колумбия,13000.0,11000.0,,198,804
Университет им. Фридриха Шиллера в Йене,387,Германия,297.0,148.5,500.0,461,232,434
Индийский технологический институт Харагпура,388,Индия,778.0,628.5,,271,611
Университет штата Сан-пауло,389,Бразилия,1000.0,1000.0,,419,611,360
Университет Южной Австралии,390,Австралия,20578.5,22986.0,,326,325,514
Биркбек,391,Великобритания,19856.0,17331.5,,374
Национальный университет Колумбии,392,Колумбия,1000.0,2000.0,,226,1202,903
