Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Кампус Университета Стрейера в Коббе,34733,США,13511.0,,
Страйерский университет-кампус Морроу,34734,США,13511.0,,
Кампус Университета Стрейера в Розуэлле,34735,США,13511.0,,
Кампус Университета Стрейера в Дугласвилле,34736,США,13511.0,,
Кампус Университета Страйер-Литония,34737,США,13511.0,,
Университет Страйера в кампусе Саванны,34738,США,13511.0,,
Университет Страйера в кампусе Августы,34739,США,13511.0,,
Страйерский университет-Колумбус,34740,США,13511.0,,
Университет Страйера - кампус Мейкон,34741,США,13511.0,,
Кампус Колумбийского университета Стрейера,34742,США,13511.0,,
Кампус Университета Стрейера в Чарльстоне,34743,США,13511.0,,
"Университет Страйера, Северо-Западный Хьюстон",34744,США,13511.0,,
Университет Страйер-Седар-Хилл,34745,США,13511.0,,
"Университет Страйера, Северный Даллас",34746,США,13511.0,,
"Университет Страйера, Сан-Антонио",34747,США,13511.0,,
Страйерский университет-Стаффорд,34748,США,13511.0,,
Университет Страйера - Кампус Северо-Западного Хьюстона,34749,США,13511.0,,
Universal Spa Training Academy - Tyler's Beauty and Spa Academy,34750,США,,,
Общественный колледж Keweenaw Bay Ojibwa - кампус Wabanung,34751,США,950.0,,
Институт Синта Аведа - Сан-Хосе,34752,США,,,
Институт здравоохранения Южной Калифорнии (SOCHI) - Северный Голливуд,34753,США,,,
Институт Аведа Рочестер,34754,США,,,
Эстафетная высшая школа образования - Ньюарк,34755,США,,,
Эстафетная высшая школа образования - Новый Орлеан,34756,США,,,
Эстафетная высшая школа образования - Делавэр,34757,США,,,
Эстафетная высшая школа образования - Мемфис,34758,США,,,
Эстафетная высшая школа образования - Хьюстон,34759,США,,,
Эстафетная высшая школа образования - Чикаго,34760,США,,,
Эстафетная высшая школа образования - Батон-Руж,34761,США,,,
Эстафетная высшая школа образования - Филадельфия и Камден,34762,США,,,
Эстафетная высшая школа образования - Денвер,34763,США,,,
Эстафетная высшая школа образования - Нэшвилл,34764,США,,,
Эстафетная высшая школа образования - Сан-Антонио,34765,США,,,
Эстафетная высшая школа образования - Даллас-Форт-Уэрт,34766,США,,,
"Эстафетная высшая школа образования - Вашингтон, DC",34767,США,,,
Эстафетная высшая школа образования - Атланта,34768,США,,,
Эстафетная высшая школа образования - Калифорния,34769,США,,,
Эстафетная высшая школа образования - Индиана,34770,США,,,
Салонный институт - Кампус Колумбуса,34771,США,,,
Академии Medspa - Национальный институт современной эстетики NIMA,34772,США,,,
Академия цифрового кино - Атланта,34773,США,,,
Университет Расмуссена - Оверленд-Парк,34774,США,11774.0,,
Университет Роки Виста - Южная Юта,34775,США,,,
Школа дизайнеров-парикмахеров и стилистов -,34776,США,,,
Институт парикмахеров Sharp Edgez - Буффало,34777,США,,,
Сети Парикмахерская Колледж,34778,США,,,
Сети Парикмахерская Колледж,34779,США,,,
Институт искусств исцеления Восток-Запад - Милуоки,34780,США,,,
Alliance Computing Solutions — NYC,34781,США,,,
Медицинская академия Bay Area - спутниковое местоположение Сан-Хосе,34782,США,,,
Медицинский колледж Высокой пустыни - Бейкерфилд,34783,США,,,
Медицинский колледж Высокой пустыни - Темекула,34784,США,,,
Университет Западного Лос-Анджелеса - Чатсуорт,34785,США,,,
Военный колледж Джорджии - Зебулон,34786,США,6208.0,,
Военный колледж Джорджии - Олбани,34787,США,6208.0,,
Военный колледж Джорджии - Валдоста,34788,США,5848.0,,
Военный колледж Джорджии - Огаста,34789,США,6163.0,,
Военный колледж Джорджии - Фэрберн,34790,США,6208.0,,
Военный колледж Джорджии - Робинс,34791,США,6208.0,,
Военный колледж Джорджии - Колумбус,34792,США,6208.0,,
Военный колледж Джорджии - Сандерсвилл,34793,США,6208.0,,
Военный колледж Джорджии - Мэдисон,34794,США,6208.0,,
Военный колледж Джорджии - Каменная гора,34795,США,6208.0,,
Военный колледж Джорджии - Фейетвилл,34796,США,6208.0,,
Военный колледж Джорджии - Дублин,34797,США,6208.0,,
Военный колледж Джорджии - Истман,34798,США,6208.0,,
Американский колледж парикмахерского искусства - Флоренция,34799,США,,,
Колледж HCI - Кампус Форт-Лодердейла,34800,США,17665.0,,
Институт красоты MAK - Дулут,34801,США,,,
Школа для взрослых ABC - Кабрильо Лейн,34802,США,,,
Городской парикмахерский колледж - Сан-Хосе,34803,США,,,
Центр технического образования Suncoast -,34804,США,,,
Образовательный центр Western Maricopa - юго-западный кампус,34805,США,,,
Образовательный центр Western Maricopa - Северо-восточный кампус,34806,США,,,
"Государственный университет Пенсильвании, право Дикинсона",34807,США,,,
Медицинский колледж Пенсильванского государственного университета,34808,США,,,
"Государственный университет Пенсильвании, штат Пенсильвания, Большой Аллегейни",34809,США,22306.0,,
Era University,34810,Индия,1407.5,1527.0,1527.0
UCEN Manchester,34811,Великобритания,11434.0,11434.0,
New Tone Academy,34812,Россия,,,
Magnitalia,34813,Россия,,,
SWISSAM International University,34814,Россия,2913.5,,
Unicaf - Malawi,34815,Малави,,,
Webster University Athens,34816,Греция,,,
Amsterdam International College (AIU College),34817,Нидерланды,,,
Politecnico di Milano,34818,Италия,,,
Johan Cruyff Institute,34819,Нидерланды,,,
Jordan University of Science and Technology (JUST),34820,Иордания,,,
University Malaysia Sabah,34821,Малайзия,,,
Setanta College,34822,Ирландия,,,
Osaka Metropolitan University,34823,Япония,,,,1491,1500,698
Italian Chamber of Commerce and Industry for the UK,34824,Венгрия,,,
University of Rijeka (uniri),34825,Хорватия,,,
Kyiv National Economic University,34826,Украина,,,
King Mongkut’s Institute of Technology Ladkrabang,34827,Таиланд,,,
American University of the Caribbean School of Medicine,34828,США,,,
Carnegie Mellon University Africa,34829,Руанда,,,
"University of Veterinary and Animal Science, Lahore",34830,Пакистан,,,
Auckland Institute of Studies,34831,Новая Зеландия,,,
Novosibirsk State Technical University,34832,Россия,,,
Gebze Technological University,34833,Турция,,,
National Chung Hsing University,34834,Тайвань,,,
Chicago Theological Seminary,34835,США,,,
Thunderbird School of Global Management (Bachelor),34836,Япония,,,
Unicaf - Uganda,34837,Уганда,,,
Pacific International Hotel Management,34838,Новая Зеландия,,,
Open Polytechnic of New Zealand,34839,Новая Зеландия,,,
TOI Whakaari New Zealand Drama School,34840,Новая Зеландия,,,
Klaipėdos valstybinė kolegija,34841,Литва,,,
Moscow Polytechnic University,34842,Россия,,,
Semnan University of Medical Sciences and Health Services,34843,Иран,,,
Uludag University,34844,Турция,,,
SolBridge International School of Business,34845,Республика Корея,,,
Faculty of Pharmacy Novi Sad,34846,Сербия,,,
Aoyama Gakuin University,34847,Япония,,,
Andrei Krupynskyi Lviv Medical Academy,34848,Украина,,,
Alabama A&M University,34849,США,,,
Union University,34850,США,,,
Central College (Iowa),34851,США,,,
Barnard College Columbia University,34852,США,,,
INE Tech,34853,США,,,
San Francisco Conservatory of Music,34854,США,,,
The Colburn Conservatory of Music,34855,США,,,
Atlantic International University,34856,США,,,
Unicaf - Zambia,34857,Замбия,,,
The Da Vinci Business School,34858,ЮАР,,,
University of Gibraltar,34859,Великобритания,,,
American Institute of Applied Sciences in Switzerland,34860,Швейцария,,,
Zhejiang Normal University,34861,Китай,,,
Mannheim University of Applied Sciences,34862,Германия,,,
Protestant University of Applied Sciences Ludwigsburg,34863,Германия,,,
Shandong Jianzhu University,34864,Китай,,,
DHBW Mosbach,34865,Германия,,,
Quebec Institute of Tourism and Hotel Management,34866,Канада,,,
AIM Paris - International Hotel & Tourism Management Academy,34867,Франция,,,
Tongji University School of Medicine,34868,Китай,,,
AKAD Hochschulen,34869,Германия,,,
Shantou University Medical College,34870,Китай,,,
Global Banking Systems,34871,Великобритания,,,
Culinary Arts Institute at VUM,34872,Болгария,,,
4Life College,34873,Австралия,,,
Hull University Business School,34874,Великобритания,,,
TEDI-London,34875,Великобритания,,,
Arden University UK,34876,Великобритания,,,
Unicaf - University of Suffolk,34877,Великобритания,,,
ICL Graduate Business School,34878,Новая Зеландия,,,
Quantic School of Business and Technology,34879,США,,,
Calvin Theological Seminary,34880,США,,,
Princeton Theological Seminary,34881,США,,,
Швейцарская академия Etudes Modernes,34882,Швейцария,7239.0,7239.0,
Штудиенколлег Study and Training в Лейпциге,34883,Германия,,,
Штудиенколлег Rahn Education в Галле,34884,Германия,,,
PSL University,34885,Франция,,,,24,41
University of Science and Technology of China,34886,,,,,137
Maastricht University,34887,Нидерланды,,,,256
Tampere University,34888,Финляндия,,,,436
University of Pecs,34889,Венгрия,,,,1492
Pontificia Universidad Católica del Ecuador (PUCE),34890,Эквадор,,,,1493
Amity University,34891,Индия,,,,1494
Baylor University,34892,США,,,,1495
Brock University,34893,Канада,,,,1496
Universidad de La Serena,34894,Чили,,,,1497
UCI Extension – International Programs,34895,США,,,
PAD - Escuela de Direccion,34896,Перу,,,
The School of Economics and Business Administration,34897,Греция,,,
Diplomatic Academy of Vienna,34898,Австрия,,,
National University of Singapore Graduate School for Integrative Sciences and Engineering,34899,Сингапур,,,
Universidad de Chile - Facultad de Economía y Negocios,34900,Чили,,,
École Nationale Supérieure de Chimie de Lille,34901,Франция,,,
École Nationale Supérieure des Arts et Industries Textiles (ENSAIT),34902,Франция,,,
École Supérieure d'Informatique du CESI (exia.cesi),34903,Франция,,,
École Nationale Supérieure d'Ingénieurs de Sud Alsace (ENSISA),34904,Франция,,,
"Sup De Co, Amiens, Picardie",34905,Франция,,,
Universidad Autónoma de Coahuila (UAdeC),34906,Мексика,,,
Universidade do Estado do Pará,34907,Бразилия,,,
Universidade Federal do Mato Grosso,34908,Бразилия,,,
Universidade Federal dos Vales do Jequitinhonha e Mucuri,34909,Бразилия,,,
Office of President,34910,,,,
Office of President,34911,,,,
CW International Education,34912,Австралия,,,
Across the Pond - Study in Britain,34913,США,,,
Universidad CES,34914,Колумбия,,,
International University of Monaco,34915,Монако,,,
Across the Pond - Study in Britain,34916,США,,,
Continuing Education Institute - IDEC,34917,Испания,,,
Leiden University College The Hague (LUC The Hague),34918,Нидерланды,,,
Leiden University College The Hague (LUC The Hague),34919,Нидерланды,,,
Indian Institute of Planning and Management (IIPM),34920,Индия,,,
Indian Institute of Planning and Management (IIPM),34921,Индия,,,
Accademia Belle Arti Roma,34922,Италия,,,
ESAN Graduate School of Business - ESAN University,34923,Перу,,,
New College of California,34924,США,,,
Northern Illinois University,34925,США,,,
Oakland University,34926,США,,,
NUCB Business School,34927,Япония,,,
American University Center of Provence,34928,Франция,,,
Preston University Kohat,34929,Пакистан,,,
Nuffic Neso India,34930,Нидерланды,,,
INSEEC Sup de Pub,34931,Франция,,,
Penn State Harrisburg,34932,США,,,
"Amity Directorate of Distance & Online Education (ADDOE), Amity University",34933,,,,
Penn State Harrisburg,34934,США,,,
"Amity Directorate of Distance & Online Education (ADDOE), Amity University",34935,,,,
"Lee Kuan Yew School of Public Policy, National University of Singapore",34936,Сингапур,,,
Kingston Business School,34937,Великобритания,,,
"Lee Kuan Yew School of Public Policy, National University of Singapore",34938,Сингапур,,,
Universitas Muhammadiyah Yogyakarta,34939,Индонезия,,,
Association of Chartered Certified Accountants,34940,Великобритания,,,
Universidad de America,34941,Колумбия,,,
Association of Chartered Certified Accountants,34942,Великобритания,,,
Universidad de America,34943,Колумбия,,,
"Institute of Systems Science, National University of Singapore",34944,Сингапур,,,
Instituto Universal de Idiomas,34945,Коста-Рика,,,
Instituto Universal de Idiomas,34946,Коста-Рика,,,
"ICMA Centre, Henley Business School",34947,Великобритания,,,
UTS Business School,34948,Австралия,,,
Study in Edinburgh,34949,,,,
"ICMA Centre, Henley Business School",34950,Великобритания,,,
UTS Business School,34951,Австралия,,,
Study in Edinburgh,34952,,,,
Fo Guang University (Buddha's Light University),34953,,,,
Colégio Mayor de Antioquia,34954,Колумбия,,,
Fo Guang University (Buddha's Light University),34955,,,,
Colégio Mayor de Antioquia,34956,Колумбия,,,
College of Business and Economics,34957,США,,,
University of Exeter Business School,34958,,,,
"The School of Business, Economics and Law",34959,Швеция,,,
University of Exeter Business School,34960,,,,
"The School of Business, Economics and Law",34961,Швеция,,,
UCLA Engineering Online Masters Program,34962,США,,,
Kellstadt Graduate School of Business,34963,США,,,
Robert H Smith School of Business,34964,,,,
Robert H Smith School of Business,34965,,,,
Information Networking Institute,34966,США,,,
Graduate School of Arts and Sciences,34967,США,,,
Georgetown Public Policy Institute,34968,США,,,
Information Networking Institute,34969,США,,,
Graduate School of Arts and Sciences,34970,США,,,
International Relations Office,34971,Аргентина,,,
Ecole des Ponts Business School,34972,Франция,,,
International Relations Office,34973,Аргентина,,,
MS Finance Program,34974,США,,,
Graduate School of International Relations and Pacific Studies,34975,США,,,
Pepperdine University School of Public Policy,34976,США,,,
School of Law,34977,США,,,
MS Finance Program,34978,США,,,
"ESB Business School, Reutlingen University",34979,Германия,,,
Chapman Graduate School of Business - FIU,34980,США,,,
University of Bradford,34981,Объединенные Арабские Эмираты,,,
Newbold College,34982,Великобритания,,,
Thames Valley University,34983,Великобритания,,,
Nordic School of Public Health,34984,Швеция,,,
Thames Valley University,34985,Великобритания,,,
Nordic School of Public Health,34986,Швеция,,,
Pamantasang Ateneo de Manila,34987,Филиппины,,,
"Polytechnic University, Warsaw",34988,Польша,,,
Fachhochschule Jena,34989,Германия,,,
Université Paul Verlaine - Metz,34990,Франция,,,
"Université de Savoie, Chambery, Annecy",34991,Франция,,,
University College of Antwerp,34992,Бельгия,,,
HAMK University of Applied Sciences,34993,Финляндия,,,
University College of Antwerp,34994,Бельгия,,,
Gonzaga University,34995,США,,,
ESCUELA SUPERIOR DE IMAGEN Y SONIDO CES,34996,Испания,,,
TRACOR - The Communication Arts Institute,34997,Испания,,,
Helsinki Education and Research Area (HERA),34998,Финляндия,,,
Ahmet Yesevi Üniversitesi,34999,Турция,,,
Ahmet Yesevi Üniversitesi,35000,Турция,,,
North Dakota State University,35001,США,,,
Polytechnic University,35002,США,,,
Université Diderot Paris 7,35003,Франция,,,
DCT International Hotel & Business Management School,35004,Швейцария,,,
DCT International Hotel & Business Management School,35005,Швейцария,,,
Hochschule für Gestaltung und Kunst Zürich,35006,Швейцария,,,
NBSSwit,35007,Швейцария,,,
University of Michigan Ross School of Business - Global MBA,35008,США,,,
Ecole Nationale Supérieure de Création Industrielle (ENSCI – Les Ateliers),35009,Франция,,,
University of Sumer,35010,Ирак,,,
Mondoza College of Business,35011,Австралия,,,
National Taiwan Sport University,35012,Тайвань,,,
University of Sumer,35013,Ирак,,,
UCLA Anderson School of Management,35014,США,,,
Ducere,35015,Канада,,,
Salzburg Urstein Institut,35016,Австрия,,,
Ducere,35017,Канада,,,
Salzburg Urstein Institut,35018,Австрия,,,
McAfee School of Business Administration,35019,США,,,
McAfee School of Business Administration,35020,США,,,
Seconda Università degli Studi di Napoli,35021,Италия,,,
"Sobey School of Business, Saint Mary's University",35022,Канада,,,
Saint Mary's College of California,35023,США,,,
Phoenix Campus - School of business,35024,США,,,
College of Business,35025,США,,,
Saint Mary's College of California,35026,США,,,
Phoenix Campus - School of business,35027,США,,,
College of Business,35028,США,,,
Mitchell College of Business,35029,США,,,
Mitchell College of Business,35030,США,,,
"Jesse H. Jones Graduate School of Business, Rice University",35031,США,,,
Analysis Institute of Management,35032,Маврикий,,,
"Hindustan Institute of Technology and Science, Chennai",35033,Индия,,,
Analysis Institute of Management,35034,Маврикий,,,
tt1,35035,Афганистан,,,
tt1,35036,Афганистан,,,
Malayan Colleges Laguna,35037,Филиппины,,,
"Universal Business School, Mumbai",35038,,,,
Trisakti Institute of Transportation and Logistics,35039,Индонезия,,,
Deusto Business School - University of Deusto,35040,Испания,,,
Malayan Colleges Laguna,35041,Филиппины,,,
"Universal Business School, Mumbai",35042,,,,
Trisakti Institute of Transportation and Logistics,35043,Индонезия,,,
Taylor Institute at Franklin Switzerland,35044,Швейцария,,,
Kalaidos Fachhochschule,35045,,,,
EHG - Ecole Hôtelière Geneve (Geneva Hotel Management School),35046,Швейцария,,,
Kalaidos Fachhochschule,35047,,,,
University of Information Technology and Management in Rzeszow,35048,Польша,,,
EHG - Ecole Hôtelière Geneve (Geneva Hotel Management School),35049,Швейцария,,,
Opole University of Technology,35050,Польша,,,
NEWTON University,35051,Чехия,,,
Indian Institute of Management Ahmedabad,35052,Индия,,,
Owen Graduate School of Management,35053,США,,,
LeBow College of Business,35054,США,,,
Adolfo Ibáñez Business School,35055,Чили,,,
Hough Graduate School of Business,35056,США,,,
Darla Moore School of Business,35057,США,,,
Stuart School of Business,35058,США,,,
BSB - Burgundy School of Business,35059,Франция,,,
Namangan Engineering-Construction Institute,35060,Узбекистан,,,
University of Bahrain - College of Business,35061,Бахрейн,,,
Richard A. Chaifetz School of Business,35062,США,,,
"Tippie School of Management, University of Iowa",35063,США,,,
University of Bahrain - College of Business,35064,Бахрейн,,,
Pontificia Universidad Catolica del Peru,35065,Перу,,,
University of Okara,35066,Пакистан,,,
University of Okara,35067,Пакистан,,,
Institut Teknologi Nasional Bandung (ITENAS Bandung),35068,Индонезия,,,
O.M.Beketov National University of Urban Economy,35069,Украина,,,
Arizona State University Online,35070,США,,,
Amity University - Chattisgarh,35071,Индия,,,
"Penn State College of Engineering, School of Engineering Design and Innovation",35072,США,,,
ISCOM,35073,Франция,,,
Vatel Martigny Switzerland - Hotel & Tourism Business School,35074,Швейцария,,,
Cyprus Health and Social Sciences University,35075,,,,
Biliran Province State University,35076,Филиппины,,,
Altoosi University College,35077,Ирак,,,
Vatel Martigny Switzerland - Hotel & Tourism Business School,35078,Швейцария,,,
Cyprus Health and Social Sciences University,35079,,,,
Volgograd State Medical University,35080,Россия,,,
Biliran Province State University,35081,Филиппины,,,
University of New Haven Online,35082,США,,,
George Mason University Online,35083,США,,,
Universidad Técnica de Manabí,35084,Эквадор,,,
Kharkiv National University of Internal Affairs,35085,Украина,,,
School of Economics and Management of the University of Minho,35086,Португалия,,,
College of Business - Universidad San Ignacio de Loyola,35087,Перу,,,
Chulalongkorn Business School,35088,Таиланд,,,
College of Business and Economics,35089,Катар,,,
Adnan Kassar School of Business,35090,Ливан,,,
College of Business - Universidad San Ignacio de Loyola,35091,Перу,,,
"School of Business, East China University of Science and Technology",35092,,,,
Adnan Kassar School of Business,35093,Ливан,,,
Al-Ayen University,35094,Ирак,,,
Balaji Institute of International Business (BIIB),35095,Индия,,,
University of Fairfax,35096,США,,,
Universidad Ecotec,35097,Эквадор,,,
Somaiya Vidyavihar University,35098,Индия,,,
South Mediterranean University,35099,Тунис,,,
Tufts University,35100,США,,,
"College of Management, National Taiwan University",35101,Тайвань,,,
Chirchik State Pedagogical University,35102,Узбекистан,,,
HEC Liège Luxembourg,35103,Бельгия,,,
Henley Business School Germany,35104,Германия,,,
Meritus University,35105,Малайзия,,,
Prestige Institute of Management and Research,35106,Индия,,,
Glasgow Caledonian University,35107,Великобритания,,,
Chirchik State Pedagogical University,35108,Узбекистан,,,
Rushford Business School,35109,Швейцария,,,
Kenzhegali Sagadiyev University of International Business,35110,Казахстан,,,
HEC Liège Luxembourg,35111,Бельгия,,,
The Continents States University,35112,США,,,
Hilla University College,35113,Ирак,,,
Clarkson's David D. Reh School of Business,35114,США,,,
609,35115,Австралия,,,
University Center of Illizi,35116,Алжир,,,
University Center of Aflou,35117,Алжир,,,
ESCE – Ecole Superieure de Commerce Exterieur,35118,Франция,,,
"Edinburgh Business School, Heriot-Watt University",35119,Великобритания,,,
University of Laghouat,35120,Алжир,,,
Universitas Islam Sultan Agung,35121,Индонезия,,,
Hilla University College,35122,Ирак,,,
609,35123,Австралия,,,
"Dr. D. Y. Patil Vidyapeeth, Pimpri, Pune, (Deemed to be University)",35124,Индия,,,
University of Laghouat,35125,Алжир,,,,1887
Higher Normal School Mostaganem,35126,Алжир,,,
Tissemsilt university,35127,Алжир,,,
University Center of Barika,35128,Алжир,,,
École Normale Supérieure Cheikh Mohamed Bachir el Ibrahimi – Kouba,35129,Алжир,,,
BITS School of Management (BITSoM),35130,,,,
University Centre of Maghnia,35131,Алжир,,,
Strate Ecole de Design,35132,Франция,,,
Mit University,35133,,,,
NIT Northern Institute of Technology Management,35134,Германия,,,
"National Institute of Design, India",35135,Индия,,,
University Center of Barika,35136,Алжир,,,
BITS School of Management (BITSoM),35137,,,,
University Centre of Maghnia,35138,Алжир,,,
Mit University,35139,,,,
Centre Universitaire – Tindouf,35140,Алжир,,,
Ecole Normale Supérieure – Bouzaréah,35141,Алжир,,,
The London Interdisciplinary School,35142,Великобритания,,,
Eikei University of Hiroshima,35143,Япония,,,
University of Mohamed VI Polytechnic – UM6P,35144,Марокко,,,
MIA Digital University,35145,Испания,,,
"CETT Barcelona School of Tourism, Hospitality and Gastronomy",35146,Испания,,,
Centre Universitaire – Tindouf,35147,Алжир,,,
Universidad Villanueva,35148,Испания,,,
Ecole Normale Supérieure – Bouzaréah,35149,Алжир,,,
Djilali Liabes University of Sidi Bel Abbes,35150,Алжир,,,
University of Mohamed VI Polytechnic – UM6P,35151,Марокко,,,
Ufa University of Science and Technology (UUST),35152,Россия,,,,1888
University of Halabja,35153,Ирак,,,
University of Halabja,35154,Ирак,,,
SMU – School of Computing and Information Systems,35155,Сингапур,,,
Vilnius University,35156,Литва,,,
"University of Surrey, Surrey Business School",35157,Великобритания,,,
Graduate School of Economics and Management,35158,Россия,,,
"California Polytechnic State University, Orfalea College of Business",35159,США,,,
Rutgers Business School - Newark and New Brunswick,35160,США,,,
UCI Paul Merage School of Business,35161,США,,,
Faculty of Human Sciences - Universidade Catolica Portuguesa,35162,Португалия,,,
Sri Devaraj Urs Academy of Higher Education and Research,35163,Индия,,,
Alisher Navo'i Tashkent State University of Uzbek Language and Literature,35164,Узбекистан,,,
The Cyprus Institute,35165,Кипр,,,
University of Glasgow Online,35166,Великобритания,,,
Government Technical University for Women,35167,Индия,,,
Pacifico Business School,35168,Перу,,,
Universidade Federal do ABC,35169,Бразилия,,,
SAWI Academy for Marketing & Communication,35170,Швейцария,,,
"School of Sport, Tourism and Hospitality Management",35171,США,,,
International European University,35172,Украина,,,
"Fanhai International School of Finance, Fudan University",35173,,,,
Northern Illinois University College of Business,35174,США,,,
HELP University,35175,Малайзия,,,
"Fanhai International School of Finance, Fudan University",35176,,,,
Northern Illinois University College of Business,35177,США,,,
Warsaw University of Technology,35178,Польша,,,
Price College of Business,35179,США,,,
University of Houston,35180,США,,,
Lazaridis School of Business and Economics,35181,Канада,,,
Oregon State University College of Business,35182,США,,,
Othman Yeop Abdullah Graduate School of Business,35183,Малайзия,,,
Othman Yeop Abdullah Graduate School of Business,35184,Малайзия,,,
Ukrainian National Forestry University,35185,Украина,,,
Universidade Federal de São João del-Rei,35186,Бразилия,,,
American University Online,35187,США,,,
Inesdi Business Techschool,35188,Испания,,,
American University Online,35189,США,,,
Takshashila University,35190,Индия,,,
Takshashila University,35191,Индия,,,
Ecole Supérieure en Sciences Biologiques d'Oran,35192,Алжир,,,
Georgetown University Online,35193,США,,,
Takshashila University,35194,Индия,,,
Takshashila University,35195,Индия,,,
Georgetown University Online,35196,США,,,
ESMT Berlin,35197,Германия,,,
Universidad Europea de Madrid,35198,Испания,,,
NFC Institute of Engineering and Technology,35199,Пакистан,,,
Hochschule für Musik und Theater München,35200,Германия,,,
Tbilisi Medical Academy,35201,Грузия,,,
Ecole Nationale Supérieure d'Architecture de Paris-Malaquais,35202,Франция,,,
University of Delaware Online,35203,США,,,
"Universidad Catolica de Avila 'Santa Teresa de Jesus"" (UCAVILA) (UCAV)",35204,Испания,,,
Brigham Young University,35205,США,,,
"Universidad Catolica de Avila 'Santa Teresa de Jesus"" (UCAVILA) (UCAV)",35206,Испания,,,
National University of Computer and Emerging Sciences Islamabad,35207,Пакистан,,,
Rabat Business School,35208,Марокко,,,
California Institute of the Arts,35209,США,,,
Rabat Business School,35210,Марокко,,,
RELIZANE UNIVERSITY,35211,Алжир,,,
Istinye University,35212,Турция,,,
Royal Veterinary and Agricultural University,35213,Дания,,,
RELIZANE UNIVERSITY,35214,Алжир,,,
City University (Malaysia),35215,Малайзия,,,
Columbia University School of professional Studies,35216,США,,,
INSEAD Singapore,35217,Сингапур,,,
State University of New York - SUNY Global Center,35218,США,,,
Columbia University School of professional Studies,35219,США,,,
University of Natural Resources and Applied Life Sciences Vienna,35220,Австрия,,,
State University of New York - SUNY Global Center,35221,США,,,
Academy of Logistics and Transport,35222,Казахстан,,,
St. John's University,35223,США,,,
Iloilo Science and Technology University,35224,Филиппины,,,
University of Glasgow - Adam Smith Business School,35225,Великобритания,,,
Technological University of the Shannon: Midlands Midwest,35226,Ирландия,,,
St. John's University,35227,США,,,
Iloilo Science and Technology University,35228,Филиппины,,,
Technological University of the Shannon: Midlands Midwest,35229,Ирландия,,,
North Carolina Central University,35230,США,,,
SUNY Institute of Technology,35231,США,,,
MIOTI Tech & Business School,35232,Испания,,,
SUNY Institute of Technology,35233,США,,,
ENAE BUSINESS SCHOOL,35234,Испания,,,
The Neeley School of Business (TCU),35235,США,,,
Indian Institute of Management Udaipur,35236,Индия,,,
University of Warith Al-Anbiyaa,35237,Ирак,,,
University of Economics and Human Sciences in Warsaw,35238,Польша,,,
Conrad School of Entrepreneurship and Business - University of Waterloo,35239,Канада,,,
Lahore Garrison University,35240,Пакистан,,,
University of Oregon | Lundquist College of Business,35241,США,,,
Cork University Business School,35242,Ирландия,,,
New York University Tandon School of Engineering,35243,,,,
Vanderbilt University School of Engineering,35244,США,,,
New York University Tandon School of Engineering,35245,,,,
Gwangju University,35246,Республика Корея,,,
Al-Zahraa University for Women,35247,Ирак,,,
Rabdan Academy,35248,Объединенные Арабские Эмираты,,,
Sri Balaji Vidyapeeth (Deemed to be University),35249,Индия,,,
Universidade Vila Velha,35250,Бразилия,,,
Fundación Universitaria Juan N. Corpas,35251,Колумбия,,,
Yale School of Environment,35252,США,,,
ESCP Business School - Berlin,35253,Германия,,,
John Molson School of Business,35254,Канада,,,
TBS Education - Barcelona,35255,Испания,,,
W. P. Carey School of Business,35256,США,,,
UCL Global Business School for Health,35257,Великобритания,,,
"National Institute of Education, Nanyang Technological University, Singapore",35258,Сингапур,,,
School of Foreign Service,35259,США,,,
Visayas State University,35260,Филиппины,,,
Universitas Muhammadiyah Surabaya,35261,Индонезия,,,
"National Institute of Education, Nanyang Technological University, Singapore",35262,Сингапур,,,
School of Foreign Service,35263,США,,,
Southern Leyte State University,35264,Филиппины,,,
National Pedagogical Dragomanov University,35265,Украина,,,
Poznan School of Banking,35266,Польша,,,
University of Veliko Tarnovo,35267,Болгария,,,
University of Veliko Tarnovo,35268,Болгария,,,
Università degli Studi eCampus,35269,Италия,,,
The American University of Science,35270,США,,,
Euroinnova Business School,35271,,,,
Euroinnova Business School,35272,,,,
The University of Melbourne,35273,Австралия,,,
University of Gent,35274,Бельгия,,,
"American University, College of Arts and Sciences",35275,США,,,
Nexford University,35276,США,,,
SRH Fernhochschule – The Distance Learning University,35277,Германия,,,
"American University, College of Arts and Sciences",35278,США,,,
Nexford University,35279,США,,,
Universität für Musik und darstellende Kunst Wien,35280,Австрия,,,
Italian National film school,35281,Италия,,,
International Management Institute - Delhi,35282,Индия,,,
Universitat de Vic-Universitat Central de Catalunya (UVic-UCC),35283,Испания,,,
International Management Institute - Kolkata,35284,Индия,,,
Indian Institute of Management - Rohtak,35285,Индия,,,
Indian Institute of Management - Rohtak,35286,Индия,,,
Loyola University,35287,Испания,,,,1889
"CETYS Universidad, Mexico",35288,Мексика,,,
Woxsen School of Business,35289,Индия,,,
Milpark Business School,35290,ЮАР,,,
Milpark Business School,35291,ЮАР,,,
NUS Business School,35292,Сингапур,,,
MDI Gurgaon,35293,Индия,,,
ETS Global B.V. Academic & Business Assessments Strawinskylaan,35294,Нидерланды,,,
Penn State University: Smeal College of Business,35295,США,,,
